age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
v3,Private,v0,HS-grad,v0,Separated,Adm-clerical,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,HS-grad,v0,Never-married,Handlers-cleaners,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Federal-gov,v3,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,Black,Male,v0,v0,v0,United-States,'>50K'
v3,Private,v1,HS-grad,v0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v1,Masters,v3,Divorced,Exec-managerial,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v2,State-gov,v0,Assoc-voc,v2,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,Assoc-voc,v2,Never-married,Prof-specialty,Not-in-family,White,Male,v0,v0,v2,United-States,'<=50K'
v0,Private,v0,Some-college,v1,Married-civ-spouse,Exec-managerial,Wife,Other,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,HS-grad,v0,Never-married,Other-service,Own-child,White,Female,v0,v0,v0,?,'<=50K'
v2,Private,v0,Prof-school,v3,Married-civ-spouse,Prof-specialty,Wife,White,Female,v0,v3,v3,Pool,'>50K'
v3,Federal-gov,v3,Bachelors,v3,Divorced,Exec-managerial,Not-in-family,White,Male,v0,v0,v3,United-States,'>50K'
v2,Self-emp-inc,v0,HS-grad,v0,Divorced,Exec-managerial,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v2,Private,v3,Some-college,v1,Married-civ-spouse,Tech-support,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v2,Private,v2,5th-6th,v0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,v0,v0,v0,Mexico,'<=50K'
v1,Private,v0,Assoc-voc,v2,Married-civ-spouse,Other-service,Husband,White,Male,v0,v0,v0,Puerto-Rico,'<=50K'
v2,Private,v1,HS-grad,v0,Married-civ-spouse,Adm-clerical,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v1,Private,v2,HS-grad,v0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,v3,v0,v0,United-States,'<=50K'
v1,Private,v0,Bachelors,v3,Married-civ-spouse,Sales,Husband,White,Male,v3,v0,v0,United-States,'<=50K'
v1,?,v3,7th-8th,v0,Married-spouse-absent,?,Not-in-family,White,Male,v0,v0,v0,?,'<=50K'
v2,Private,v1,HS-grad,v0,Married-civ-spouse,Transport-moving,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v0,Doctorate,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v2,United-States,'>50K'
v1,Private,v0,Some-college,v1,Divorced,Tech-support,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v1,Private,v1,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,Some-college,v1,Divorced,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v1,HS-grad,v0,Married-civ-spouse,Adm-clerical,Wife,White,Female,v0,v0,v0,United-States,'>50K'
v3,Self-emp-inc,v2,Some-college,v1,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v0,?,v2,Some-college,v1,Never-married,?,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v0,Some-college,v1,Never-married,Prof-specialty,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,Bachelors,v3,Separated,Sales,Own-child,Black,Female,v0,v0,v0,United-States,'<=50K'
v1,Self-emp-not-inc,v1,Bachelors,v3,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v0,Private,v2,Some-college,v1,Never-married,Machine-op-inspct,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v1,Some-college,v1,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,HS-grad,v0,Never-married,Other-service,Own-child,White,Male,v0,v0,v0,Mexico,'<=50K'
v2,Private,v0,Assoc-acdm,v2,Married-civ-spouse,Adm-clerical,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v3,?,v2,10th,v0,Married-civ-spouse,?,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,11th,v0,Never-married,Other-service,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Local-gov,v1,7th-8th,v0,Married-civ-spouse,Farming-fishing,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,HS-grad,v0,Never-married,Sales,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v3,Bachelors,v3,Married-civ-spouse,Other-service,Husband,White,Male,v0,v0,v0,Cuba,'<=50K'
v2,Private,v0,HS-grad,v0,Married-civ-spouse,Other-service,Wife,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v1,HS-grad,v0,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v2,Private,v3,HS-grad,v0,Divorced,Craft-repair,Not-in-family,White,Female,v3,v0,v0,United-States,'>50K'
v3,Private,v3,HS-grad,v0,Divorced,Sales,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Local-gov,v3,HS-grad,v0,Married-civ-spouse,Protective-serv,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v1,Private,v2,Masters,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v1,Private,v0,9th,v0,Never-married,Sales,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Federal-gov,v3,Doctorate,v3,Never-married,Prof-specialty,Not-in-family,White,Female,v0,v0,v3,United-States,'>50K'
v3,Private,v3,Assoc-voc,v2,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,Some-college,v1,Divorced,Craft-repair,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,Some-college,v1,Divorced,Machine-op-inspct,Unmarried,Black,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,HS-grad,v0,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,v0,v3,v0,?,'<=50K'
v1,Local-gov,v2,Bachelors,v3,Married-civ-spouse,Protective-serv,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v1,Local-gov,v0,Some-college,v1,Never-married,Handlers-cleaners,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v2,Self-emp-not-inc,v2,Doctorate,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v3,v3,United-States,'>50K'
v1,Private,v2,Some-college,v1,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v2,Private,v1,Assoc-acdm,v2,Divorced,Exec-managerial,Unmarried,White,Female,v0,v0,v0,England,'<=50K'
v1,Federal-gov,v3,HS-grad,v0,Never-married,Other-service,Own-child,Black,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v1,Masters,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v2,Private,v2,Bachelors,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v3,v0,v3,United-States,'>50K'
v2,Self-emp-not-inc,v1,Masters,v3,Never-married,Prof-specialty,Not-in-family,White,Female,v0,v0,v3,United-States,'<=50K'
v0,Private,v2,Some-college,v1,Never-married,Tech-support,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,HS-grad,v0,Never-married,Craft-repair,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Self-emp-inc,v3,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v3,v0,v0,United-States,'>50K'
v0,?,v3,10th,v0,Never-married,?,Own-child,White,Female,v3,v0,v0,United-States,'<=50K'
v1,Private,v2,11th,v0,Never-married,Handlers-cleaners,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Local-gov,v2,HS-grad,v0,Never-married,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v1,HS-grad,v0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,Bachelors,v3,Never-married,Sales,Other-relative,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v0,Prof-school,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v3,Self-emp-not-inc,v3,HS-grad,v0,Married-civ-spouse,Other-service,Husband,White,Male,v0,v3,v3,Canada,'>50K'
v0,Private,v3,Some-college,v1,Married-civ-spouse,Sales,Wife,White,Female,v3,v0,v0,United-States,'<=50K'
v1,Private,v0,HS-grad,v0,Never-married,Machine-op-inspct,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v0,9th,v0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v3,Self-emp-inc,v3,Some-college,v1,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v3,Local-gov,v2,Assoc-voc,v2,Married-civ-spouse,Craft-repair,Husband,Black,Male,v0,v0,v0,United-States,'>50K'
v3,Private,v3,Some-college,v1,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v0,Private,v0,HS-grad,v0,Never-married,Craft-repair,Not-in-family,White,Male,v0,v0,v2,United-States,'<=50K'
v0,Private,v2,Some-college,v1,Never-married,Other-service,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v1,Bachelors,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v1,Private,v0,Bachelors,v3,Never-married,Exec-managerial,Own-child,Black,Male,v0,v0,v0,Germany,'<=50K'
v1,State-gov,v3,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v0,Private,v3,Some-college,v1,Never-married,Other-service,Own-child,Black,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v3,Bachelors,v3,Married-civ-spouse,Exec-managerial,Wife,White,Female,v0,v0,v0,United-States,'>50K'
v0,Private,v0,Some-college,v1,Never-married,Adm-clerical,Own-child,White,Female,v0,v3,v0,United-States,'<=50K'
v1,Private,v0,Assoc-acdm,v2,Married-civ-spouse,Adm-clerical,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v1,?,v1,HS-grad,v0,Married-civ-spouse,?,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v3,Some-college,v1,Divorced,Craft-repair,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v0,Assoc-acdm,v2,Never-married,Sales,Not-in-family,White,Female,v0,v0,v3,United-States,'<=50K'
v0,Private,v0,HS-grad,v0,Never-married,Other-service,Not-in-family,White,Female,v0,v3,v0,United-States,'<=50K'
v2,Self-emp-not-inc,v1,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v3,v0,v0,United-States,'<=50K'
v1,Private,v3,Bachelors,v3,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v2,Private,v1,Assoc-acdm,v2,Divorced,Tech-support,Not-in-family,Black,Female,v0,v0,v0,United-States,'<=50K'
v2,Federal-gov,v1,Masters,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,Pool,'>50K'
v2,Self-emp-not-inc,v0,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v0,Private,v1,Assoc-voc,v2,Married-civ-spouse,Adm-clerical,Wife,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v0,Some-college,v1,Never-married,Sales,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v0,Some-college,v1,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,v0,v0,v0,United-States,'>50K'
v3,Self-emp-inc,v0,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,Some-college,v1,Never-married,Sales,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,Some-college,v1,Never-married,Other-service,Own-child,White,Male,v0,v0,v0,Mexico,'<=50K'
v2,Private,v2,Assoc-voc,v2,Never-married,Prof-specialty,Not-in-family,White,Female,v0,v3,v0,United-States,'>50K'
v3,Private,v0,Some-college,v1,Never-married,Tech-support,Other-relative,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v2,HS-grad,v0,Never-married,Transport-moving,Unmarried,Black,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v1,Some-college,v1,Married-civ-spouse,Other-service,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,HS-grad,v0,Widowed,Other-service,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v2,11th,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v3,v0,United-States,'<=50K'
v2,?,v1,Some-college,v1,Divorced,?,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Local-gov,v2,Some-college,v1,Divorced,Adm-clerical,Unmarried,White,Female,v0,v0,v0,Mexico,'<=50K'
v1,Private,v2,HS-grad,v0,Never-married,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v1,Bachelors,v3,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,v0,v0,v0,Philippines,'<=50K'
v0,Private,v3,HS-grad,v0,Never-married,Craft-repair,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v3,?,v3,HS-grad,v0,Divorced,?,Not-in-family,White,Male,v0,v0,v2,United-States,'>50K'
v2,Private,v2,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v0,Private,v2,Bachelors,v3,Never-married,Handlers-cleaners,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Self-emp-not-inc,v3,Some-college,v1,Separated,Sales,Unmarried,Black,Male,v0,v3,v0,United-States,'<=50K'
v1,Private,v2,HS-grad,v0,Divorced,Craft-repair,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v2,Private,v2,Bachelors,v3,Separated,Other-service,Other-relative,Black,Male,v0,v0,v3,United-States,'<=50K'
v3,?,v0,1st-4th,v0,Divorced,?,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,HS-grad,v0,Never-married,Other-service,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Self-emp-inc,v0,Masters,v3,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v0,HS-grad,v0,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,v0,v0,v0,England,'<=50K'
v2,Self-emp-not-inc,v2,Masters,v3,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v1,Private,v2,Some-college,v1,Divorced,Other-service,Unmarried,White,Female,v0,v0,v0,Mexico,'<=50K'
v2,Federal-gov,v2,Assoc-acdm,v2,Never-married,Exec-managerial,Not-in-family,White,Male,v0,v0,v2,United-States,'<=50K'
v2,State-gov,v0,Masters,v3,Widowed,Protective-serv,Unmarried,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v0,11th,v0,Never-married,Handlers-cleaners,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Local-gov,v0,Assoc-voc,v2,Widowed,Prof-specialty,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v1,HS-grad,v0,Never-married,Other-service,Not-in-family,White,Male,v0,v3,v0,United-States,'<=50K'
v0,State-gov,v1,HS-grad,v0,Married-civ-spouse,Protective-serv,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v0,Some-college,v1,Married-civ-spouse,Sales,Husband,White,Male,v0,v3,v0,United-States,'>50K'
v0,Private,v3,Bachelors,v3,Never-married,Craft-repair,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v0,State-gov,v1,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v0,Private,v3,HS-grad,v0,Married-spouse-absent,Sales,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,HS-grad,v0,Never-married,Craft-repair,Own-child,Black,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,HS-grad,v0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,HS-grad,v0,Never-married,Other-service,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v2,Local-gov,v2,Some-college,v1,Married-civ-spouse,Exec-managerial,Husband,Black,Male,v0,v0,v0,United-States,'>50K'
v2,Private,v0,Some-college,v1,Divorced,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,Some-college,v1,Never-married,Craft-repair,Not-in-family,Black,Male,v0,v0,v2,United-States,'<=50K'
v2,Private,v3,7th-8th,v0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,v0,v0,v0,Mexico,'>50K'
v1,Federal-gov,v0,Some-college,v1,Married-civ-spouse,Adm-clerical,Husband,White,Male,v0,v0,v2,United-States,'>50K'
v1,Private,v3,HS-grad,v0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,v0,v0,v0,United-States,'<=50K'
v2,Self-emp-not-inc,v1,Bachelors,v3,Divorced,Exec-managerial,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v3,?,v1,Bachelors,v3,Divorced,?,Not-in-family,White,Female,v0,v0,v3,United-States,'<=50K'
v1,Private,v0,Masters,v3,Married-civ-spouse,Prof-specialty,Wife,White,Female,v0,v0,v3,United-States,'<=50K'
v3,State-gov,v0,Doctorate,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v2,Private,v1,Some-college,v1,Divorced,Machine-op-inspct,Not-in-family,Black,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v1,Some-college,v1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Local-gov,v3,Bachelors,v3,Married-civ-spouse,Craft-repair,Husband,Black,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v1,Some-college,v1,Married-civ-spouse,Tech-support,Husband,White,Male,v0,v0,v2,United-States,'<=50K'
v2,Federal-gov,v1,Bachelors,v3,Married-civ-spouse,Tech-support,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,5th-6th,v0,Married-civ-spouse,Transport-moving,Other-relative,White,Male,v0,v0,v0,Mexico,'<=50K'
v1,Private,v0,Some-college,v1,Divorced,Craft-repair,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Federal-gov,v0,Masters,v3,Never-married,Exec-managerial,Not-in-family,White,Female,v3,v0,v3,United-States,'>50K'
v1,Private,v1,Masters,v3,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,v3,v0,v0,United-States,'>50K'
v0,Self-emp-not-inc,v0,HS-grad,v0,Never-married,Sales,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,Masters,v3,Never-married,Prof-specialty,Not-in-family,White,Female,v0,v3,v0,United-States,'<=50K'
v0,?,v1,HS-grad,v0,Never-married,?,Own-child,White,Male,v0,v0,v0,Italy,'<=50K'
v3,Private,v3,Bachelors,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v2,Local-gov,v3,Some-college,v1,Never-married,Prof-specialty,Not-in-family,White,Female,v0,v3,v0,United-States,'<=50K'
v1,State-gov,v0,HS-grad,v0,Divorced,Adm-clerical,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v1,11th,v0,Never-married,Sales,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v1,Bachelors,v3,Married-civ-spouse,Other-service,Husband,Black,Male,v3,v0,v0,United-States,'>50K'
v1,Private,v0,HS-grad,v0,Divorced,Craft-repair,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v3,Self-emp-inc,v2,HS-grad,v0,Married-civ-spouse,Sales,Wife,White,Female,v3,v0,v0,United-States,'>50K'
v0,Private,v0,11th,v0,Never-married,Sales,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Local-gov,v1,HS-grad,v0,Married-civ-spouse,Transport-moving,Husband,Black,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v2,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v1,Private,v1,Some-college,v1,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v0,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,v0,v0,v0,United-States,'<=50K'
v3,Self-emp-inc,v1,7th-8th,v0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v1,Private,v3,Bachelors,v3,Never-married,Exec-managerial,Not-in-family,Black,Male,v0,v0,v3,United-States,'>50K'
v3,Private,v3,Assoc-acdm,v2,Divorced,Sales,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
